id,gene,gene_link,full_name,diseases,diseases_link,no_of_snps
408,COG5,https://www.snpedia.com/index.php/COG5,component of oligomeric golgi complex 5,COG5,http://diseases.jensenlab.org/Search?query=COG5,4
409,COL11A1,https://www.snpedia.com/index.php/COL11A1,"collagen, type XI, alpha 1",COL11A1,http://diseases.jensenlab.org/Search?query=COL11A1,25
410,COL11A2,https://www.snpedia.com/index.php/COL11A2,"collagen, type XI, alpha 2",COL11A2,http://diseases.jensenlab.org/Search?query=COL11A2,24
411,COL17A1,https://www.snpedia.com/index.php/COL17A1,null,COL17A1,http://diseases.jensenlab.org/Search?query=COL17A1,22
412,COL1A1,https://www.snpedia.com/index.php/COL1A1,"collagen, type I, alpha 1",COL1A1,http://diseases.jensenlab.org/Search?query=COL1A1,167
413,COL1A2,https://www.snpedia.com/index.php/COL1A2,collagen type I alpha 2,COL1A2,http://diseases.jensenlab.org/Search?query=COL1A2,97
414,COL27A1,https://www.snpedia.com/index.php/COL27A1,"collagen, type XXVII, alpha 1",COL27A1,http://diseases.jensenlab.org/Search?query=COL27A1,7
415,COL2A1,https://www.snpedia.com/index.php/COL2A1,"collagen, type II, alpha 1",COL2A1,http://diseases.jensenlab.org/Search?query=COL2A1,124
416,COL3A1,https://www.snpedia.com/index.php/COL3A1,"collagen, type III, alpha 1",COL3A1,http://diseases.jensenlab.org/Search?query=COL3A1,385
417,COL4A3,https://www.snpedia.com/index.php/COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",COL4A3,http://diseases.jensenlab.org/Search?query=COL4A3,33
418,COL4A4,https://www.snpedia.com/index.php/COL4A4,"collagen, type IV, alpha 4",COL4A4,http://diseases.jensenlab.org/Search?query=COL4A4,19
419,COL4A5,https://www.snpedia.com/index.php/COL4A5,"collagen, type IV, alpha 5",COL4A5,http://diseases.jensenlab.org/Search?query=COL4A5,533
420,COL4A6,https://www.snpedia.com/index.php/COL4A6,"collagen, type IV, alpha 6",COL4A6,http://diseases.jensenlab.org/Search?query=COL4A6,9
421,COL5A1,https://www.snpedia.com/index.php/COL5A1,null,COL5A1,http://diseases.jensenlab.org/Search?query=COL5A1,66
422,COL5A2,https://www.snpedia.com/index.php/COL5A2,null,COL5A2,http://diseases.jensenlab.org/Search?query=COL5A2,19
423,COL6A2,https://www.snpedia.com/index.php/COL6A2,"collagen, type VI, alpha 2",COL6A2,http://diseases.jensenlab.org/Search?query=COL6A2,75
424,COL6A3,https://www.snpedia.com/index.php/COL6A3,"collagen, type VI, alpha 3",COL6A3,http://diseases.jensenlab.org/Search?query=COL6A3,57
425,COL7A1,https://www.snpedia.com/index.php/COL7A1,collagen type VII alpha 1,COL7A1,http://diseases.jensenlab.org/Search?query=COL7A1,131
426,COL8A2,https://www.snpedia.com/index.php/COL8A2,"collagen, type VIII, alpha 2",COL8A2,http://diseases.jensenlab.org/Search?query=COL8A2,4
427,COL9A1,https://www.snpedia.com/index.php/COL9A1,"collagen, type IX, alpha 1",COL9A1,http://diseases.jensenlab.org/Search?query=COL9A1,7
428,COL9A2,https://www.snpedia.com/index.php/COL9A2,"collagen, type IX, alpha 2",COL9A2,http://diseases.jensenlab.org/Search?query=COL9A2,9
429,COL9A3,https://www.snpedia.com/index.php/COL9A3,null,COL9A3,http://diseases.jensenlab.org/Search?query=COL9A3,6
430,COMT,https://www.snpedia.com/index.php/COMT,catechol-O-methyltransferase,COMT,http://diseases.jensenlab.org/Search?query=COMT,29
431,COX10,https://www.snpedia.com/index.php/COX10,COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor,COX10,http://diseases.jensenlab.org/Search?query=COX10,7
432,COX15,https://www.snpedia.com/index.php/COX15,cytochrome c oxidase assembly homolog 15 (yeast),COX15,http://diseases.jensenlab.org/Search?query=COX15,8
433,COX4I1,https://www.snpedia.com/index.php/COX4I1,null,COX4I1,http://diseases.jensenlab.org/Search?query=COX4I1,1
434,CPED1,https://www.snpedia.com/index.php/CPED1,cadherin-like and PC-esterase domain containing 1,CPED1,http://diseases.jensenlab.org/Search?query=CPED1,7
435,CPOX,https://www.snpedia.com/index.php/CPOX,coproporphyrinogen oxidase,CPOX,http://diseases.jensenlab.org/Search?query=CPOX,13
436,CPS1,https://www.snpedia.com/index.php/CPS1,"carbamoyl-phosphate synthase 1, mitochondrial",CPS1,http://diseases.jensenlab.org/Search?query=CPS1,21
437,CPT1A,https://www.snpedia.com/index.php/CPT1A,carnitine palmitoyltransferase 1A (liver),CPT1A,http://diseases.jensenlab.org/Search?query=CPT1A,55
438,CPT1B,https://www.snpedia.com/index.php/CPT1B,carnitine palmitoyltransferase 1B (muscle),CPT1B,http://diseases.jensenlab.org/Search?query=CPT1B,5
439,CRB1,https://www.snpedia.com/index.php/CRB1,"crumbs family member 1, photoreceptor morphogenesis associated",CRB1,http://diseases.jensenlab.org/Search?query=CRB1,37
440,CRB2,https://www.snpedia.com/index.php/CRB2,crumbs family member 2,CRB2,http://diseases.jensenlab.org/Search?query=CRB2,12
441,CRB3,https://www.snpedia.com/index.php/CRB3,crumbs family member 3,CRB3,http://diseases.jensenlab.org/Search?query=CRB3,0
442,CREB1,https://www.snpedia.com/index.php/CREB1,null,CREB1,http://diseases.jensenlab.org/Search?query=CREB1,7
443,CREBBP,https://www.snpedia.com/index.php/CREBBP,null,CREBBP,http://diseases.jensenlab.org/Search?query=CREBBP,113
444,CREBRF,https://www.snpedia.com/index.php/CREBRF,CREB3 regulatory factor,CREBRF,http://diseases.jensenlab.org/Search?query=CREBRF,1
445,CRH,https://www.snpedia.com/index.php/CRH,null,CRH,http://diseases.jensenlab.org/Search?query=CRH,4
446,CRISPLD1,https://www.snpedia.com/index.php/CRISPLD1,null,CRISPLD1,http://diseases.jensenlab.org/Search?query=CRISPLD1,0
447,CRP,https://www.snpedia.com/index.php/CRP,null,CRP,http://diseases.jensenlab.org/Search?query=CRP,13
448,CRYM,https://www.snpedia.com/index.php/CRYM,"crystallin, mu",CRYM,http://diseases.jensenlab.org/Search?query=CRYM,3
449,CSAD,https://www.snpedia.com/index.php/CSAD,null,CSAD,http://diseases.jensenlab.org/Search?query=CSAD,1
450,CSF2RB,https://www.snpedia.com/index.php/CSF2RB,colony stimulating factor 2 receptor beta common subunit,CSF2RB,http://diseases.jensenlab.org/Search?query=CSF2RB,8
451,CSNK1D,https://www.snpedia.com/index.php/CSNK1D,"casein kinase 1, delta",CSNK1D,http://diseases.jensenlab.org/Search?query=CSNK1D,2
452,CST3,https://www.snpedia.com/index.php/CST3,cystatin C,CST3,http://diseases.jensenlab.org/Search?query=CST3,7
453,CSTF1,https://www.snpedia.com/index.php/CSTF1,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa",CSTF1,http://diseases.jensenlab.org/Search?query=CSTF1,4
454,CTBP2P1,https://www.snpedia.com/index.php/CTBP2P1,null,CTBP2P1,http://diseases.jensenlab.org/Search?query=CTBP2P1,0
455,CTC1,https://www.snpedia.com/index.php/CTC1,CTS telomere maintenance complex component 1,CTC1,http://diseases.jensenlab.org/Search?query=CTC1,20
456,CTCF,https://www.snpedia.com/index.php/CTCF,CCCTC-binding factor (zinc finger protein),CTCF,http://diseases.jensenlab.org/Search?query=CTCF,7
457,CTH,https://www.snpedia.com/index.php/CTH,cystathionase (cystathionine gamma-lyase),CTH,http://diseases.jensenlab.org/Search?query=CTH,6
458,CTLA4,https://www.snpedia.com/index.php/CTLA4,cytotoxic T-lymphocyte-associated protein 4,CTLA4,http://diseases.jensenlab.org/Search?query=CTLA4,24
459,CTNNA2,https://www.snpedia.com/index.php/CTNNA2,"catenin (cadherin-associated protein), alpha 2",CTNNA2,http://diseases.jensenlab.org/Search?query=CTNNA2,5
460,CTNNA3,https://www.snpedia.com/index.php/CTNNA3,"catenin (cadherin-associated protein), alpha 3",CTNNA3,http://diseases.jensenlab.org/Search?query=CTNNA3,16
461,CTRC,https://www.snpedia.com/index.php/CTRC,null,CTRC,http://diseases.jensenlab.org/Search?query=CTRC,5
462,CTSD,https://www.snpedia.com/index.php/CTSD,cathepsin D,CTSD,http://diseases.jensenlab.org/Search?query=CTSD,12
463,CTSZ,https://www.snpedia.com/index.php/CTSZ,cathepsin Z,CTSZ,http://diseases.jensenlab.org/Search?query=CTSZ,1
464,CUBN,https://www.snpedia.com/index.php/CUBN,cubilin (intrinsic factor-cobalamin receptor),CUBN,http://diseases.jensenlab.org/Search?query=CUBN,42
465,CWC27,https://www.snpedia.com/index.php/CWC27,null,CWC27,http://diseases.jensenlab.org/Search?query=CWC27,4
466,CXCR4,https://www.snpedia.com/index.php/CXCR4,null,CXCR4,http://diseases.jensenlab.org/Search?query=CXCR4,7
467,CYB5R3,https://www.snpedia.com/index.php/CYB5R3,cytochrome b5 reductase 3,CYB5R3,http://diseases.jensenlab.org/Search?query=CYB5R3,21
468,CYLD,https://www.snpedia.com/index.php/CYLD,null,CYLD,http://diseases.jensenlab.org/Search?query=CYLD,27
469,CYP17A1,https://www.snpedia.com/index.php/CYP17A1,"cytochrome P450, family 17, subfamily A, polypeptide 1",CYP17A1,http://diseases.jensenlab.org/Search?query=CYP17A1,43
470,CYP19A1,https://www.snpedia.com/index.php/CYP19A1,"cytochrome P450, family 19, subfamily A, polypeptide 1",CYP19A1,http://diseases.jensenlab.org/Search?query=CYP19A1,56
471,CYP1A1,https://www.snpedia.com/index.php/CYP1A1,"cytochrome P450, family 1, subfamily A, polypeptide 1",CYP1A1,http://diseases.jensenlab.org/Search?query=CYP1A1,8
472,CYP1A2,https://www.snpedia.com/index.php/CYP1A2,"cytochrome P450, family 1, subfamily A, polypeptide 2",CYP1A2,http://diseases.jensenlab.org/Search?query=CYP1A2,19
473,CYP1B1,https://www.snpedia.com/index.php/CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1",CYP1B1,http://diseases.jensenlab.org/Search?query=CYP1B1,29
474,CYP21A2,https://www.snpedia.com/index.php/CYP21A2,"cytochrome P450, family 21, subfamily A, polypeptide 2",CYP21A2,http://diseases.jensenlab.org/Search?query=CYP21A2,46
475,CYP26A1,https://www.snpedia.com/index.php/CYP26A1,"cytochrome P450, family 26, subfamily A, polypeptide 1",CYP26A1,http://diseases.jensenlab.org/Search?query=CYP26A1,1
476,CYP27B1,https://www.snpedia.com/index.php/CYP27B1,"cytochrome P450, family 27, subfamily B, polypeptide 1",CYP27B1,http://diseases.jensenlab.org/Search?query=CYP27B1,22
477,CYP2A13,https://www.snpedia.com/index.php/CYP2A13,"cytochrome P450, family 2, subfamily A, polypeptide 13",CYP2A13,http://diseases.jensenlab.org/Search?query=CYP2A13,4
478,CYP2A6,https://www.snpedia.com/index.php/CYP2A6,"cytochrome P450, family 2, subfamily A, polypeptide 6",CYP2A6,http://diseases.jensenlab.org/Search?query=CYP2A6,12
479,CYP2B6,https://www.snpedia.com/index.php/CYP2B6,"cytochrome P450, family 2, subfamily B, polypeptide 6",CYP2B6,http://diseases.jensenlab.org/Search?query=CYP2B6,28
480,CYP2C19,https://www.snpedia.com/index.php/CYP2C19,"cytochrome P450, family 2, subfamily C, polypeptide 19",CYP2C19,http://diseases.jensenlab.org/Search?query=CYP2C19,31
481,CYP2C8,https://www.snpedia.com/index.php/CYP2C8,"cytochrome P450, family 2, subfamily C, polypeptide 8",CYP2C8,http://diseases.jensenlab.org/Search?query=CYP2C8,16
482,CYP2C9,https://www.snpedia.com/index.php/CYP2C9,"cytochrome P450, family 2, subfamily C, polypeptide 9",CYP2C9,http://diseases.jensenlab.org/Search?query=CYP2C9,36
483,CYP2D6,https://www.snpedia.com/index.php/CYP2D6,"cytochrome P450, family 2, subfamily D, polypeptide 6",CYP2D6,http://diseases.jensenlab.org/Search?query=CYP2D6,302
484,CYP2E1,https://www.snpedia.com/index.php/CYP2E1,"cytochrome P450, family 2, subfamily E, polypeptide 1",CYP2E1,http://diseases.jensenlab.org/Search?query=CYP2E1,25
485,CYP2F1,https://www.snpedia.com/index.php/CYP2F1,"cytochrome P450, family 2, subfamily F, polypeptide 1",CYP2F1,http://diseases.jensenlab.org/Search?query=CYP2F1,1
486,CYP2J2,https://www.snpedia.com/index.php/CYP2J2,"cytochrome P450, family 2, subfamily J, polypeptide 2",CYP2J2,http://diseases.jensenlab.org/Search?query=CYP2J2,11
487,CYP2R1,https://www.snpedia.com/index.php/CYP2R1,"cytochrome P450, family 2, subfamily R, polypeptide 1",CYP2R1,http://diseases.jensenlab.org/Search?query=CYP2R1,10
488,CYP2S1,https://www.snpedia.com/index.php/CYP2S1,"cytochrome P450, family 2, subfamily S, polypeptide 1",CYP2S1,http://diseases.jensenlab.org/Search?query=CYP2S1,0
489,CYP2W1,https://www.snpedia.com/index.php/CYP2W1,"cytochrome P450, family 2, subfamily W, polypeptide 1",CYP2W1,http://diseases.jensenlab.org/Search?query=CYP2W1,3
490,CYP3A,https://www.snpedia.com/index.php/CYP3A,"cytochrome P450, family 3, subfamily A",CYP3A,http://diseases.jensenlab.org/Search?query=CYP3A,0
491,CYP3A4,https://www.snpedia.com/index.php/CYP3A4,"cytochrome P450, family 3, subfamily A, polypeptide 4",CYP3A4,http://diseases.jensenlab.org/Search?query=CYP3A4,31
492,CYP3A43,https://www.snpedia.com/index.php/CYP3A43,"cytochrome P450, family 3, subfamily A, polypeptide 43",CYP3A43,http://diseases.jensenlab.org/Search?query=CYP3A43,3
493,CYP3A5,https://www.snpedia.com/index.php/CYP3A5,"cytochrome P450, family 3, subfamily A, polypeptide 5",CYP3A5,http://diseases.jensenlab.org/Search?query=CYP3A5,16
494,CYP3A7,https://www.snpedia.com/index.php/CYP3A7,"cytochrome P450, family 3, subfamily A, polypeptide 7",CYP3A7,http://diseases.jensenlab.org/Search?query=CYP3A7,3
495,CYP4A11,https://www.snpedia.com/index.php/CYP4A11,"cytochrome P450, family 4, subfamily A, polypeptide 11",CYP4A11,http://diseases.jensenlab.org/Search?query=CYP4A11,7
496,CYP4A22,https://www.snpedia.com/index.php/CYP4A22,"cytochrome P450, family 4, subfamily A, polypeptide 22",CYP4A22,http://diseases.jensenlab.org/Search?query=CYP4A22,0
497,CYP4B1,https://www.snpedia.com/index.php/CYP4B1,"cytochrome P450, family 4, subfamily B, polypeptide 1",CYP4B1,http://diseases.jensenlab.org/Search?query=CYP4B1,2
498,CYP4F2,https://www.snpedia.com/index.php/CYP4F2,"cytochrome P450, family 4, subfamily F, polypeptide 2",CYP4F2,http://diseases.jensenlab.org/Search?query=CYP4F2,9
499,CYP4F3,https://www.snpedia.com/index.php/CYP4F3,"cytochrome P450, family 4, subfamily F, polypeptide 3",CYP4F3,http://diseases.jensenlab.org/Search?query=CYP4F3,5
500,CYP4V2,https://www.snpedia.com/index.php/CYP4V2,"cytochrome P450, family 4, subfamily V, polypeptide 2",CYP4V2,http://diseases.jensenlab.org/Search?query=CYP4V2,37
501,CYP7A1,https://www.snpedia.com/index.php/CYP7A1,"cytochrome P450, family 7, subfamily A, polypeptide 1",CYP7A1,http://diseases.jensenlab.org/Search?query=CYP7A1,6
502,DAB2IP,https://www.snpedia.com/index.php/DAB2IP,DAB2 interacting protein,DAB2IP,http://diseases.jensenlab.org/Search?query=DAB2IP,10
503,DAGL,https://www.snpedia.com/index.php/DAGL,null,DAGL,http://diseases.jensenlab.org/Search?query=DAGL,0
504,DAO,https://www.snpedia.com/index.php/DAO,D-amino-acid oxidase,DAO,http://diseases.jensenlab.org/Search?query=DAO,7
505,DAOA,https://www.snpedia.com/index.php/DAOA,null,DAOA,http://diseases.jensenlab.org/Search?query=DAOA,9
506,DAPK1,https://www.snpedia.com/index.php/DAPK1,null,DAPK1,http://diseases.jensenlab.org/Search?query=DAPK1,6
507,DAZL,https://www.snpedia.com/index.php/DAZL,deleted in azoospermia-like,DAZL,http://diseases.jensenlab.org/Search?query=DAZL,1
508,DBH,https://www.snpedia.com/index.php/DBH,dopamine beta-hydroxylase (dopamine beta-monooxygenase),DBH,http://diseases.jensenlab.org/Search?query=DBH,22
509,DBR1,https://www.snpedia.com/index.php/DBR1,null,DBR1,http://diseases.jensenlab.org/Search?query=DBR1,1
510,DBT,https://www.snpedia.com/index.php/DBT,dihydrolipoamide branched chain transacylase E2,DBT,http://diseases.jensenlab.org/Search?query=DBT,29
511,DCAF5,https://www.snpedia.com/index.php/DCAF5,DDB1 and CUL4 associated factor 5,DCAF5,http://diseases.jensenlab.org/Search?query=DCAF5,0
512,DCC,https://www.snpedia.com/index.php/DCC,DCC netrin 1 receptor,DCC,http://diseases.jensenlab.org/Search?query=DCC,32
513,DCDC2,https://www.snpedia.com/index.php/DCDC2,doublecortin domain containing 2,DCDC2,http://diseases.jensenlab.org/Search?query=DCDC2,21
514,DCHS1,https://www.snpedia.com/index.php/DCHS1,dachsous cadherin-related 1,DCHS1,http://diseases.jensenlab.org/Search?query=DCHS1,6
515,DCTN1,https://www.snpedia.com/index.php/DCTN1,dynactin 1,DCTN1,http://diseases.jensenlab.org/Search?query=DCTN1,13
516,DCXR,https://www.snpedia.com/index.php/DCXR,dicarbonyl/L-xylulose reductase,DCXR,http://diseases.jensenlab.org/Search?query=DCXR,0
517,DDB2,https://www.snpedia.com/index.php/DDB2,null,DDB2,http://diseases.jensenlab.org/Search?query=DDB2,7
518,DDC,https://www.snpedia.com/index.php/DDC,dopa decarboxylase (aromatic L-amino acid decarboxylase),DDC,http://diseases.jensenlab.org/Search?query=DDC,31
519,DDX3Y,https://www.snpedia.com/index.php/DDX3Y,null,DDX3Y,http://diseases.jensenlab.org/Search?query=DDX3Y,43
520,DDX60L,https://www.snpedia.com/index.php/DDX60L,null,DDX60L,http://diseases.jensenlab.org/Search?query=DDX60L,2
521,Dec1,https://www.snpedia.com/index.php/DEC1,null,Dec1,http://diseases.jensenlab.org/Search?query=DEC1,3
522,DEFB4,https://www.snpedia.com/index.php/DEFB4,null,DEFB4,http://diseases.jensenlab.org/Search?query=DEFB4,0
523,DENND5A,https://www.snpedia.com/index.php/DENND5A,null,DENND5A,http://diseases.jensenlab.org/Search?query=DENND5A,6
524,DES,https://www.snpedia.com/index.php/DES,desmin,DES,http://diseases.jensenlab.org/Search?query=DES,67
525,DFNA5,https://www.snpedia.com/index.php/DFNA5,"deafness, autosomal dominant 5",DFNA5,http://diseases.jensenlab.org/Search?query=DFNA5,3
526,DFNB31,https://www.snpedia.com/index.php/DFNB31,"deafness, autosomal recessive 31",DFNB31,http://diseases.jensenlab.org/Search?query=DFNB31,14
527,DFNB59,https://www.snpedia.com/index.php/DFNB59,"deafness, autosomal recessive 59",DFNB59,http://diseases.jensenlab.org/Search?query=DFNB59,4
528,DGCR2,https://www.snpedia.com/index.php/DGCR2,null,DGCR2,http://diseases.jensenlab.org/Search?query=DGCR2,1
529,DGKE,https://www.snpedia.com/index.php/DGKE,"diacylglycerol kinase, epsilon 64kDa",DGKE,http://diseases.jensenlab.org/Search?query=DGKE,11
530,DGKH,https://www.snpedia.com/index.php/DGKH,null,DGKH,http://diseases.jensenlab.org/Search?query=DGKH,10
531,DHAPAT,https://www.snpedia.com/index.php/DHAPAT,null,DHAPAT,http://diseases.jensenlab.org/Search?query=DHAPAT,0
532,DHCR7,https://www.snpedia.com/index.php/DHCR7,7-dehydrocholesterol reductase,DHCR7,http://diseases.jensenlab.org/Search?query=DHCR7,85
533,DHDDS,https://www.snpedia.com/index.php/DHDDS,null,DHDDS,http://diseases.jensenlab.org/Search?query=DHDDS,2
534,DHFR,https://www.snpedia.com/index.php/DHFR,dihydrofolate reductase,DHFR,http://diseases.jensenlab.org/Search?query=DHFR,8
535,DHODH,https://www.snpedia.com/index.php/DHODH,dihydroorotate dehydrogenase (quinone),DHODH,http://diseases.jensenlab.org/Search?query=DHODH,8
536,DHRC24,https://www.snpedia.com/index.php/DHRC24,24-dehydrocholesterol reductase,DHRC24,http://diseases.jensenlab.org/Search?query=DHRC24,0
537,DHRS3,https://www.snpedia.com/index.php/DHRS3,dehydrogenase/reductase (SDR family) member 3,DHRS3,http://diseases.jensenlab.org/Search?query=DHRS3,0
538,DIABLO,https://www.snpedia.com/index.php/DIABLO,"diablo, IAP-binding mitochondrial protein",DIABLO,http://diseases.jensenlab.org/Search?query=DIABLO,1
539,DIAPH1,https://www.snpedia.com/index.php/DIAPH1,diaphanous-related formin 1,DIAPH1,http://diseases.jensenlab.org/Search?query=DIAPH1,7
540,DIAPH3,https://www.snpedia.com/index.php/DIAPH3,diaphanous-related formin 3,DIAPH3,http://diseases.jensenlab.org/Search?query=DIAPH3,0
541,DICER1,https://www.snpedia.com/index.php/DICER1,"dicer 1, ribonuclease type III",DICER1,http://diseases.jensenlab.org/Search?query=DICER1,113
542,DIO1,https://www.snpedia.com/index.php/DIO1,iodothyronine deiodinase 1,DIO1,http://diseases.jensenlab.org/Search?query=DIO1,3
543,DIO2,https://www.snpedia.com/index.php/DIO2,"deiodinase, iodothyronine, type II",DIO2,http://diseases.jensenlab.org/Search?query=DIO2,5
544,DIO3,https://www.snpedia.com/index.php/DIO3,"DEIODINASE, IODOTHYRONINE, TYPE III",DIO3,http://diseases.jensenlab.org/Search?query=DIO3,0
545,DISC1,https://www.snpedia.com/index.php/DISC1,disrupted in schizophrenia 1,DISC1,http://diseases.jensenlab.org/Search?query=DISC1,36
546,DKK4,https://www.snpedia.com/index.php/DKK4,dickkopf homolog 4 (Xenopus laevis),DKK4,http://diseases.jensenlab.org/Search?query=DKK4,2
547,DLC1,https://www.snpedia.com/index.php/DLC1,DLC1 Rho GTPase activating protein,DLC1,http://diseases.jensenlab.org/Search?query=DLC1,6
548,DLD,https://www.snpedia.com/index.php/DLD,dihydrolipoamide dehydrogenase,DLD,http://diseases.jensenlab.org/Search?query=DLD,26
549,DLEC1,https://www.snpedia.com/index.php/DLEC1,deleted in lung and esophageal cancer 1,DLEC1,http://diseases.jensenlab.org/Search?query=DLEC1,1
550,DLEU7,https://www.snpedia.com/index.php/DLEU7,null,DLEU7,http://diseases.jensenlab.org/Search?query=DLEU7,1
551,DLG2,https://www.snpedia.com/index.php/DLG2,"discs, large homolog 2 (Drosophila)",DLG2,http://diseases.jensenlab.org/Search?query=DLG2,11
552,DLGAP5P1,https://www.snpedia.com/index.php/DLGAP5P1,null,DLGAP5P1,http://diseases.jensenlab.org/Search?query=DLGAP5P1,0
553,DLK1,https://www.snpedia.com/index.php/DLK1,null,DLK1,http://diseases.jensenlab.org/Search?query=DLK1,1
554,DMD,https://www.snpedia.com/index.php/DMD,dystrophin,DMD,http://diseases.jensenlab.org/Search?query=DMD,479
555,DMRT1,https://www.snpedia.com/index.php/DMRT1,doublesex and mab-3 related transcription factor 1,DMRT1,http://diseases.jensenlab.org/Search?query=DMRT1,9
556,DNAH1,https://www.snpedia.com/index.php/DNAH1,null,DNAH1,http://diseases.jensenlab.org/Search?query=DNAH1,6
557,DNAH2,https://www.snpedia.com/index.php/DNAH2,null,DNAH2,http://diseases.jensenlab.org/Search?query=DNAH2,1
558,DNAH5,https://www.snpedia.com/index.php/DNAH5,"dynein, axonemal, heavy chain 5",DNAH5,http://diseases.jensenlab.org/Search?query=DNAH5,58
559,DNAI1,https://www.snpedia.com/index.php/DNAI1,null,DNAI1,http://diseases.jensenlab.org/Search?query=DNAI1,13
560,DNAJB11,https://www.snpedia.com/index.php/DNAJB11,null,DNAJB11,http://diseases.jensenlab.org/Search?query=DNAJB11,2
561,DNAJC13,https://www.snpedia.com/index.php/DNAJC13,"DnaJ (Hsp40) homolog, subfamily C, member 13",DNAJC13,http://diseases.jensenlab.org/Search?query=DNAJC13,3
562,DNAJC5,https://www.snpedia.com/index.php/DNAJC5,"DnaJ (Hsp40) homolog, subfamily C, member 5",DNAJC5,http://diseases.jensenlab.org/Search?query=DNAJC5,2
563,DNM1,https://www.snpedia.com/index.php/DNM1,null,DNM1,http://diseases.jensenlab.org/Search?query=DNM1,14
564,DNM2,https://www.snpedia.com/index.php/DNM2,null,DNM2,http://diseases.jensenlab.org/Search?query=DNM2,23
565,DNM3,https://www.snpedia.com/index.php/DNM3,dynamin 3,DNM3,http://diseases.jensenlab.org/Search?query=DNM3,11
566,DNMT1,https://www.snpedia.com/index.php/DNMT1,DNA (cytosine-5-)-methyltransferase 1,DNMT1,http://diseases.jensenlab.org/Search?query=DNMT1,21
567,DNMT3A,https://www.snpedia.com/index.php/DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,DNMT3A,http://diseases.jensenlab.org/Search?query=DNMT3A,34
568,DNMT3L,https://www.snpedia.com/index.php/DNMT3L,DNA (cytosine-5-)-methyltransferase 3-like,DNMT3L,http://diseases.jensenlab.org/Search?query=DNMT3L,5
569,DOCK3,https://www.snpedia.com/index.php/DOCK3,dedicator of cytokinesis 3,DOCK3,http://diseases.jensenlab.org/Search?query=DOCK3,2
570,DOCK7,https://www.snpedia.com/index.php/DOCK7,null,DOCK7,http://diseases.jensenlab.org/Search?query=DOCK7,25
571,DOPEY2,https://www.snpedia.com/index.php/DOPEY2,null,DOPEY2,http://diseases.jensenlab.org/Search?query=DOPEY2,0
572,DPP6,https://www.snpedia.com/index.php/DPP6,dipeptidyl-peptidase 6,DPP6,http://diseases.jensenlab.org/Search?query=DPP6,17
573,DPP9,https://www.snpedia.com/index.php/DPP9,null,DPP9,http://diseases.jensenlab.org/Search?query=DPP9,1
574,DPYD,https://www.snpedia.com/index.php/DPYD,dihydropyrimidine dehydrogenase,DPYD,http://diseases.jensenlab.org/Search?query=DPYD,78
575,DRD1,https://www.snpedia.com/index.php/DRD1,dopamine receptor D1,DRD1,http://diseases.jensenlab.org/Search?query=DRD1,8
576,DRD2,https://www.snpedia.com/index.php/DRD2,dopamine receptor D2,DRD2,http://diseases.jensenlab.org/Search?query=DRD2,37
577,DRD3,https://www.snpedia.com/index.php/DRD3,dopamine receptor D3,DRD3,http://diseases.jensenlab.org/Search?query=DRD3,18
578,DRD4,https://www.snpedia.com/index.php/DRD4,dopamine receptor D4,DRD4,http://diseases.jensenlab.org/Search?query=DRD4,16
579,DRD5,https://www.snpedia.com/index.php/DRD5,dopamine receptor D5,DRD5,http://diseases.jensenlab.org/Search?query=DRD5,3
580,DSC2,https://www.snpedia.com/index.php/DSC2,desmocollin 2,DSC2,http://diseases.jensenlab.org/Search?query=DSC2,29
581,DSCAM,https://www.snpedia.com/index.php/DSCAM,null,DSCAM,http://diseases.jensenlab.org/Search?query=DSCAM,6
582,DSG2,https://www.snpedia.com/index.php/DSG2,desmoglein 2,DSG2,http://diseases.jensenlab.org/Search?query=DSG2,56
583,DSP,https://www.snpedia.com/index.php/DSP,desmoplakin,DSP,http://diseases.jensenlab.org/Search?query=DSP,134
584,DSPP,https://www.snpedia.com/index.php/DSPP,dentin sialophosphoprotein,DSPP,http://diseases.jensenlab.org/Search?query=DSPP,8
585,DTD1,https://www.snpedia.com/index.php/DTD1,D-tyrosyl-tRNA deacylase 1,DTD1,http://diseases.jensenlab.org/Search?query=DTD1,0
586,DTNA,https://www.snpedia.com/index.php/DTNA,"dystrobrevin, alpha",DTNA,http://diseases.jensenlab.org/Search?query=DTNA,3
587,DTNBP1,https://www.snpedia.com/index.php/DTNBP1,dystrobrevin binding protein 1,DTNBP1,http://diseases.jensenlab.org/Search?query=DTNBP1,15
588,DUSP1,https://www.snpedia.com/index.php/DUSP1,null,DUSP1,http://diseases.jensenlab.org/Search?query=DUSP1,4
589,DUSP5,https://www.snpedia.com/index.php/DUSP5,null,DUSP5,http://diseases.jensenlab.org/Search?query=DUSP5,0
590,DUXA,https://www.snpedia.com/index.php/DUXA,double homeobox A,DUXA,http://diseases.jensenlab.org/Search?query=DUXA,1
591,DVWA,https://www.snpedia.com/index.php/DVWA,null,DVWA,http://diseases.jensenlab.org/Search?query=DVWA,0
